Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
"Monitoring mammals in the Caxiuanu National Forest, Brazil - First results from the Tropical Ecology, Assessment and Monitoring (TEAM) program","de Souza Martins, Simone; Sanderson, James G.; de Sousa e Silva-Junior, Jose",,,,BIODIVERSITY AND CONSERVATION,APR 2007,2007,16,4,,,,857,870,,10.1007/s10531-006-9094-x,,,19,1.46
"Habitat use by carnivores at different spatial scales in a plantation forest landscape in Patagonia, Argentina","Victoria Lantschner, Maria; Rusch, Veronica; Hayes, John P.",,,,FOREST ECOLOGY AND MANAGEMENT,APR 1 2012,2012,269,,,,,271,278,,10.1016/j.foreco.2011.12.045,,,18,2.25
Opportunistic use of camera traps to assess habitat-specific mammal and bird diversity in northcentral Namibia,"Stein, Andrew B.; Fuller, Todd K.; Marker, Laurie L.",,,,BIODIVERSITY AND CONSERVATION,DEC 2008,2008,17,14,,,,3579,3587,,10.1007/s10531-008-9442-0,,,18,1.5
Mammal diversity and conservation in a secondary forest in Peninsular Malaysia,"Azad, MAJBA",,,,BIODIVERSITY AND CONSERVATION,MAR 2006,2006,15,3,,,,1013,1025,,10.1007/s10531-004-3953-0,,,18,1.29
"Monitoring wildlife abundance and diversity with infra-red camera traps in Guanyinshan Nature Reserve of Shaanxi Province, China","Liu, Xuehua; Wu, Pengfeng; Songer, Melissa; Cai, Qiong; He, Xiangbo; Zhu, Yun; Shao, Xiaoming",,,,ECOLOGICAL INDICATORS,OCT 2013,2013,33,,,,SI,121,128,,10.1016/j.ecolind.2012.09.022,,,17,2.43
Private forest reserves can aid in preserving the community of medium and large-sized vertebrates in the Amazon arc of deforestation,"Negroes, Nuno; Revilla, Eloy; Fonseca, Carlos; Soares, Amadeu M. V. M.; Jacomo, Anah T. A.; Silveira, Leandro",,,,BIODIVERSITY AND CONSERVATION,MAR 2011,2011,20,3,,,,505,518,,10.1007/s10531-010-9961-3,,,17,1.89
Spatial characteristics of residential development shift large carnivore prey habits,"Smith, Justine A.; Wang, Yiwei; Wilmers, Christopher C.",,,,JOURNAL OF WILDLIFE MANAGEMENT,AUG 2016,2016,80,6,,,,1040,1048,,10.1002/jwmg.21098,,,15,3.75
Camera trapping rare and threatened avifauna in west-central Sumatra,"Dinata, Yoan; Nugroho, Agung; Haidir, Iding Achmad; Linkie, Matthew",,,,BIRD CONSERVATION INTERNATIONAL,MAR 2008,2008,18,1,,,,30,37,,10.1017/S0959270908000051,,,15,1.25
"Nest predation risk on ground and shrub nests in forest margin areas of Sulawesi, Indonesia","Pangau-Adam, Margaretha Z.; Waltert, Matthias; Muehlenberg, Michael",,,,BIODIVERSITY AND CONSERVATION,DEC 2006,2006,15,13,,,,4143,4158,,10.1007/s10531-005-3370-z,,,15,1.07
"Diversity and occupancy of small carnivores within oil palm plantations in central Sumatra, Indonesia","Jennings, Andrew P.; Naim, Mohd; Advento, Andreas Dwi; Aryawan, Anak Agung Ketut; Ps, Sudharto; Caliman, Jean-Pierre; Verwilghen, Aude; Veron, Geraldine",,,,MAMMAL RESEARCH,APR 2015,2015,60,2,,,,181,188,,10.1007/s13364-015-0217-1,,,14,2.8
"A camera trap assessment of terrestrial vertebrates in Bwindi Impenetrable National Park, Uganda","Mugerwa, Badru; Sheil, Douglas; Ssekiranda, Peter; van Heist, Miriam; Ezuma, Pontious",,,,AFRICAN JOURNAL OF ECOLOGY,MAR 2013,2013,51,1,,,,21,31,,10.1111/aje.12004,,,14,2
Gauging the impact of management expertise on the distribution of large mammals across protected areas,"Li, Sheng; McShea, William J.; Wang, Dajun; Lu, Zhi; Gu, Xiaodong",,,,DIVERSITY AND DISTRIBUTIONS,DEC 2012,2012,18,12,,,,1166,1176,,10.1111/j.1472-4642.2012.00907.x,,,13,1.63
Diet of the crowned eagle (Stephanoaetus coronatus) in an urban landscape: potential for human-wildlife conflict?,"McPherson, Shane C.; Brown, Mark; Downs, Colleen T.",,,,URBAN ECOSYSTEMS,MAR 2016,2016,19,1,,,,383,396,,10.1007/s11252-015-0500-6,,,12,3
Community-wide mesocarnivore response to partial ungulate migration,"Henden, John-Andre; Stien, Audun; Bardsen, Bard-Jorgen; Yoccoz, Nigel G.; Ims, Rolf A.",,,,JOURNAL OF APPLIED ECOLOGY,DEC 2014,2014,51,6,,,,1525,1533,,10.1111/1365-2664.12328,,,12,2
Building capacity in biodiversity monitoring at the global scale,"Schmeller, Dirk S.; Bohm, Monika; Arvanitidis, Christos; Barber-Meyer, Shannon; Brummitt, Neil; Chandler, Mark; Chatzinikolaou, Eva; Costello, Mark J.; Ding, Hui; Garcia-Moreno, Jaime; Gill, Mike; Haase, Peter; Jones, Miranda; Juillard, Romain; Magnusson, William E.; Martin, Corinne S.; McGeoch, Melodie; Mihoub, Jean-Baptiste; Pettorelli, Nathalie; Proenca, Vania; Peng, Cui; Regan, Eugenie; Schmiedel, Ute; Simaika, John P.; Weatherdon, Lauren; Waterman, Carly; Xu, Haigen; Belnap, Jayne",,,,BIODIVERSITY AND CONSERVATION,NOV 2017,2017,26,12,,,,2765,2790,,10.1007/s10531-017-1388-7,,,11,3.67
Differential responses of scavenging arthropods and vertebrates to forest loss maintain ecosystem function in a heterogeneous landscape,"Sugiura, Shinji; Tanaka, Ryusei; Taki, Hisatomo; Kanzaki, Natsumi",,,,BIOLOGICAL CONSERVATION,MAR 2013,2013,159,,,,,206,213,,10.1016/j.biocon.2012.11.003,,,11,1.57
The spatial distribution of African savannah herbivores: species associations and habitat occupancy in a landscape context,"Anderson, T. Michael; White, Staci; Davis, Bryant; Erhardt, Rob; Palmer, Meredith; Swanson, Alexandra; Kosmala, Margaret; Packer, Craig",,,,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,SEP 19 2016,2016,371,1703,,,,,,20150314,10.1098/rstb.2015.0314,,,10,2.5
Ecological Relationships of Meso-Scale Distribution in 25 Neotropical Vertebrate Species,"Michalski, Lincoln Jose; Norris, Darren; de Oliveira, Tadeu Gomes; Michalski, Fernanda",,,,PLOS ONE,MAY 4 2015,2015,10,5,,,,,,UNSP e0126114,10.1371/journal.pone.0126114,,,9,1.8
The road less travelled: assessing variation in mammal detection probabilities with camera traps in a semi-arid biodiversity hotspot,"Mann, Gareth K. H.; O'Riain, M. Justin; Parker, Daniel M.",,,,BIODIVERSITY AND CONSERVATION,MAR 2015,2015,24,3,,,,531,545,,10.1007/s10531-014-0834-z,,,9,1.8
Tracking Seed Fates of Tropical Tree Species: Evidence for Seed Caching in a Tropical Forest in North-East India,"Sidhu, Swati; Datta, Aparajita",,,,PLOS ONE,AUG 6 2015,2015,10,8,,,,,,e0134658,10.1371/journal.pone.0134658,,,6,1.2
"Royal Manas National Park, Bhutan: a hot spot for wild felids","Tempa, Tshering; Hebblewhite, Mark; Mills, L. Scott; Wangchuk, Tshewang R.; Norbu, Nawang; Wangchuk, Tenzin; Nidup, Tshering; Dendup, Pema; Wangchuk, Dorji; Wangdi, Yeshi; Dorji, Tshering",,,,ORYX,APR 2013,2013,47,2,,,,207,210,,10.1017/S0030605312001317,,,6,0.86
"Mammalian and avian diversity of the Rewa Head, Rupununi, Southern Guyana","Pickles, Robert Stuart Alexander; McCann, Niall Patrick; Holland, Ashley Peregrine",,,,BIOTA NEOTROPICA,JUL-SEP 2011,2011,11,3,,,,237,251,,10.1590/S1676-06032011000300021,,,6,0.67
Quantifying the bias in density estimated from distance sampling and camera trapping of unmarked individuals,"Chauvenet, Alienor L. M.; Gill, Robin M. A.; Smith, Graham C.; Ward, Alastair I.; Massei, Giovanna",,,,ECOLOGICAL MODELLING,APR 24 2017,2017,350,,,,,79,86,,10.1016/j.ecolmodel.2017.02.007,,,5,1.67
"Disturbance impacts on large rain-forest vertebrates differ with edge type and regional context in Sulawesi, Indonesia","Froese, Graden Z. L.; Contasti, Adrienne L.; Mustari, Abdul Haris; Brodie, Jedediah F.",,,,JOURNAL OF TROPICAL ECOLOGY,NOV 2015,2015,31,,6,,,509,517,,10.1017/S0266467415000450,,,5,1
"Conservation importance of Nakai-Nam Theun National Protected Area, Laos, for small carnivores based on camera trap data","Coudrat, C. N. Z.; Nanthavong, C.; Sayavong, S.; Johnson, A.; Johnston, J. B.; Robichaud, W. G.",,,,RAFFLES BULLETIN OF ZOOLOGY,2014,2014,62,,,,,31,49,,,,,5,0.83
The importance of microhabitat structure in maintaining forest mammal diversity in a mixed land-use mosaic,"Smith, Yvette C. Ehlers; Smith, David A. Ehlers; Ramesh, T.; Downs, Colleen T.",,,,BIODIVERSITY AND CONSERVATION,SEP 2017,2017,26,10,,,,2361,2382,,10.1007/s10531-017-1360-6,,,4,1.33
Can community-protected areas conserve biodiversity in human-modified tropical landscapes? The case of terrestrial mammals in southern Mexico.,"Muench, Carlos; Martinez-Ramos, Miguel",,,,TROPICAL CONSERVATION SCIENCE,MAR 2016,2016,9,1,,,,178,202,,10.1177/194008291600900110,,,4,1
"Post-dispersal seed removal by ground-feeding rodents in tropical peatlands, Central Kalimantan, Indonesia","Blackham, Grace V.; Corlett, Richard T.",,,,SCIENTIFIC REPORTS,SEP 15 2015,2015,5,,,,,,,14152,10.1038/srep14152,,,4,0.8
Sunbird pollination of the dioecious root parasite Cytinus sanguineus (Cytinaceae),"Hobbhahn, N.; Johnson, S. D.",,,,SOUTH AFRICAN JOURNAL OF BOTANY,JUL 2015,2015,99,,,,,138,143,,10.1016/j.sajb.2015.04.003,,,4,0.8
,"Kilshaw, Kerry; Johnson, Paul J.; Kitchener, Andrew C.; Macdonald, David W.",,,,ORYX,APR 2015,2015,49,2,,,,207,215,,10.1017/S0030605313001154,,,4,0.8
Use of camera-traps in natural trails and shelters for the mammalian survey in the Atlantic Forest,"Melo, Geruza L.; Sponchiado, Jonas; Caceres, Nilton C.",,,,IHERINGIA SERIE ZOOLOGIA,MAR 30 2012,2012,102,1,,,,88,94,,10.1590/S0073-47212012000100012,,,4,0.5
"Camera trapping in assessing diversity of mammals in Jabal Moussa Biosphere Reserve, Lebanon","Abi-Said, Mounir; Amr, Zuhair S.",,,,VERTEBRATE ZOOLOGY,2012,2012,62,1,,,,145,152,,,,,4,0.5
Evaluation of an underwater solid state memory video system with application to fish abundance and diversity studies in southeast Australia,"Lowry, Michael; Folpp, Heath; Gregson, Marcus",,,,FISHERIES RESEARCH,JUN 2011,2011,110,1,,,,10,17,,10.1016/j.fishres.2011.03.003,,,4,0.44
Assessing Variation in Wildlife Biodiversity in the Tien Shan Mountains of Kyrgyzstan Using Ancillary Camera-trap Photos,"McCarthy, Jennifer L.; McCarthy, Kyle P.; Fuller, Todd K.; McCarthy, Thomas M.",,,,MOUNTAIN RESEARCH AND DEVELOPMENT,AUG 2010,2010,30,3,,,,295,301,,10.1659/MRD-JOURNAL-D-09-00080.1,,,4,0.4
Carnivore distributions in Botswana are shaped by resource availability and intraguild species,"Rich, L. N.; Miller, D. A. W.; Robinson, H. S.; McNutt, J. W.; Kelly, M. J.",,,,JOURNAL OF ZOOLOGY,OCT 2017,2017,303,2,,,,90,98,,10.1111/jzo.12470,,,3,1
"How individual links affect network stability in a large-scale, heterogeneous metacommunity","Brodie, Jedediah F.; Mohd-Azlan, Jayasilan; Schnell, Jessica K.",,,,ECOLOGY,JUL 2016,2016,97,7,,,,1658,1667,,10.1890/15-1613.1,,,3,0.75
Effects of forest composition on trophic relationships among mast production and mammals in central hardwood forest,"Gillen, Carolyn A.; Hellgren, Eric C.",,,,JOURNAL OF MAMMALOGY,APR 2013,2013,94,2,,,,417,426,,10.1644/12-MAMM-A-138.1,,,3,0.43
,"Anile, S.; Bizzarri, L.; Ragni, B.",,,,ITALIAN JOURNAL OF ZOOLOGY,2010,2010,77,2,,,,241,246,,10.1080/11250000903419731,,,3,0.3
"Rapid assessment of nonvolant mammals in seven sites in the northern State of Para, Brazil: a forgotten part of the Guiana Region","Rossi, Rogerio Vieira; Miranda, Cleuton Lima; Fernandes Semedo, Thiago Borges",,,,MAMMALIA,SEP 2017,2017,81,5,,,,465,487,,10.1515/mammalia-2016-0037,,,2,0.67
Winners and losers among mammals and nocturnal birds over 17 years in response to large-scale eucalypt plantation establishment on farmland,"Law, Bradley S.; Chidel, Mark; Brassil, Traecey; Turner, Graham; Gonsalves, Leroy",,,,FOREST ECOLOGY AND MANAGEMENT,SEP 1 2017,2017,399,,,,,108,119,,10.1016/j.foreco.2017.05.022,,,2,0.67
,"Razafindratsima, Onja H.",,,,JOURNAL OF TROPICAL ECOLOGY,MAY 2017,2017,33,,3,,,232,236,,10.1017/S0266467417000104,,,2,0.67
Comparing survey methods to assess the conservation value of a community-managed protected area in western Tanzania,"Hausser, Yves; Tagand, Romain; Vimercati, Eric; Mermod, Sandy; Fischer, Claude",,,,AFRICAN JOURNAL OF ECOLOGY,MAR 2017,2017,55,1,,,,1,11,,10.1111/aje.12301,,,2,0.67
Assessing species traits and landscape relationships of the mammalian carnivore community in a neotropical biological corridor,"Vargas, Lain E. Pardo; Cove, Michael V.; Manuel Spinola, R.; Camilo de la Cruz, Juan; Saenz, Joel C.",,,,BIODIVERSITY AND CONSERVATION,APR 2016,2016,25,4,,,,739,752,,10.1007/s10531-016-1089-7,,,2,0.5
Medium- and large-sized mammals in a steppic savanna area of the Brazilian Pampa: survey and conservation issues of a poorly known fauna,"Espinosa, C. C.; Galiano, D.; Kubiak, B. B.; Marinho, J. R.",,,,BRAZILIAN JOURNAL OF BIOLOGY,FEB 2016,2016,76,1,,,,73,79,,10.1590/1519-6984.12714,,,2,0.5
"Natural licks are required for large terrestrial mammals in a degraded riparian forest, Sabah, Borneo, Malaysia","Matsuda, Ikki; Ancrenaz, Marc; Akiyama, Yoshihiro; Tuuga, Augustine; Majalap, Noreen; Bernard, Henry",,,,ECOLOGICAL RESEARCH,JAN 2015,2015,30,1,,,,191,195,,10.1007/s11284-014-1219-1,,,2,0.4
Evaluating relative abundance indices for terrestrial herbivores from large-scale camera trap surveys,"Palmer, Meredith; Swanson, Alexandra; Kosmala, Margaret; Arnold, Todd; Packer, Craig",,,,AFRICAN JOURNAL OF ECOLOGY,DEC 2018,2018,56,4,,,SI,791,803,,10.1111/aje.12566,,,1,0.5
,"Rodrigues, Thiago Ferreira; Kays, Roland; Parsons, Arielle; Versiani, Natalia Fraguas; Paolino, Roberta Montanheiro; Pasqualotto, Nielson; Krepschi, Victor Gasperotto; Chiarello, Adriano Garcia",,,,JOURNAL OF MAMMALOGY,OCT 3 2017,2017,98,5,,,,1301,1309,,10.1093/jmammal/gyx099,,,1,0.33
Citizen scientists help unravel the nature of cattle impacts on native mammals and birds visiting fruiting trees in Brazil's southern Pantanal,"Eaton, Donald P.; Keuroghlian, Alexine; Santos, Maria do Carmo A.; Desbiez, Arnaud L. J.; Sada, Donald W.",,,,BIOLOGICAL CONSERVATION,APR 2017,2017,208,,,,SI,29,39,,10.1016/j.biocon.2016.09.010,,,1,0.33
"Does variation between dry and wet seasons affect tropical forest mammals' occupancy and detectability by camera traps? Case study from the Udzungwa Mountains, Tanzania","Martin, Emanuel H.; Ndibalema, Vedasto G.; Rovero, Francesco",,,,AFRICAN JOURNAL OF ECOLOGY,MAR 2017,2017,55,1,,,,37,46,,10.1111/aje.12312,,,1,0.33
Biogeography and conservation of non-volant mammals from the Urucum Mountains: a Chiquitano dry forest ecoregion in western Brazil,"Hannibal, Wellington; Godoi, Mauricio Neves; Tomas, Walfrido Moraes; Porfirio, Grasiela; Ferreira, Vanda Lucia; Caceres, Nilton",,,,MAMMALIA,MAR 2017,2017,81,2,,,,169,180,,10.1515/mammalia-2015-0052,,,1,0.33
"Examining the occurrence of mammal species in natural areas within a rapidly urbanizing region of Texas, USA","Haverland, Matthew B.; Veech, Joseph A.",,,,LANDSCAPE AND URBAN PLANNING,JAN 2017,2017,157,,,,,221,230,,10.1016/j.landurbplan.2016.06.001,,,1,0.33
"Diversity and Activity Pattern of Wildlife Inhabiting Catchment of Hulu Terengganu Hydroelectric Dam, Terengganu, Peninsular Malaysia","Adyla, M. N. Nurul; Ikhwan, Z.; Zuhairi, M. Ngah; Shukor, M. N.",,,"Ibrahim, K; Badri, KH; Jumali, MHH; Noorani, MSM; Ibrahim, N; Rasol, NHA; Yaacob, WZW",2016 UKM FST POSTGRADUATE COLLOQUIUM,2016,2016,1784,,,,,,,60038,10.1063/1.4966876,UKM FST Postgraduate Colloquium,"APR 13-14, 2016",1,0.25
"Replacement of native by non-native animal communities assisted by human introduction and management on Isla Victoria, Nahuel Huapi National Park","Martin-Albarracin, Valeria L.; Nunez, Martin A.; Amico, Guillermo C.",,,,PeerJ,OCT 20 2015,2015,3,,,,,,,e1328,10.7717/peerj.1328,,,1,0.2
Free food for everyone: artificial feeding of brown bears provides food for many non-target species,"Flezar, Ursa; Costa, Beatriz; Bordjan, Dejan; Jerina, Klemen; Krofel, Miha",,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,FEB 2019,2019,65,1,,,,,,1,10.1007/s10344-018-1237-3,,,0,0
The role of Lantana camara in areas of bell miner (Manorina melanophrys) associated dieback and its implications for terrestrial mammal and insectivorous bat populations,"Wright, Penny E.; Lambert, Kathryn T. A.; McDonald, Paul G.",,,,AUSTRALIAN MAMMALOGY,2019,2019,41,1,,,,49,56,,10.1071/AM17003,,,0,0
Diversity and distribution patterns of medium to large mammals in a silvicultural landscape in south-eastern Brazil,"Campos, Bruna Manuele; Charters, Jacob Daniel; Verdade, Luciano Martins",,,,IFOREST-BIOGEOSCIENCES AND FORESTRY,DEC 2018,2018,11,,,,,802,808,,10.3832/ifor2721-011,,,0,0
Using Camera Traps to Assess Mammal and Bird Assemblages in a Midwestern Forest,"Cloyed, Carl S.; Cappelli, Laura R.; Tilson, David A.; Crawford, John A.; Dell, Anthony, I",,,,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,DEC 2018,2018,9,2,,,,485,495,,10.3996/122017-JFWM-103,,,0,0
Distributional shifts in a biodiversity hotspot,"Beaudrot, Lydia; Acevedo, Miguel; Lessard, Jean-Philippe; Sheil, Douglas; Larney, Eileen; Wright, Patricia; Ahumada, Jorge",,,,BIOLOGICAL CONSERVATION,DEC 2018,2018,228,,,,,252,258,,10.1016/j.biocon.2018.10.016,,,0,0
Conservation implications for jaguars and other neotropical mammals using highway underpasses,"Gonzalez-Gallina, Alberto; Hidalgo-Mihart, Mircea G.; Castelazo-Calva, Victor",,,,PLOS ONE,NOV 6 2018,2018,13,11,,,,,,e0206614,10.1371/journal.pone.0206614,,,0,0
Deep-sea mobile megafauna of Mediterranean submarine canyons and open slopes: Analysis of spatial and bathymetric gradients,"Fanelli, Emanuela; Bianchelli, Silvia; Danovaro, Roberto",,,,PROGRESS IN OCEANOGRAPHY,NOV 2018,2018,168,,,,,23,34,,10.1016/j.pocean.2018.09.010,,,0,0
"Effects of logging on wildlife communities in certified tropical rainforests in East Kalimantan, Indonesia","Jati, Agus Sudibyo; Samejima, Hiromitsu; Fujiki, Shogoro; Kurniawan, Yuyun; Aoyagi, Ryota; Kitayama, Kanehiro",,,,FOREST ECOLOGY AND MANAGEMENT,NOV 1 2018,2018,427,,,,,124,134,,10.1016/j.foreco.2018.05.054,,,0,0
Unveiling a wildlife haven: occupancy and activity patterns of mammals at a Tibetan sacred mountain,"Li, Xueyou; Bleisch, William V.; Jiang, Xuelong",,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2018,2018,64,5,,,,,,53,10.1007/s10344-018-1213-y,,,0,0
Gap analysis and implications for seasonal management on a local scale,"Yang, Li; Zhang, Baofeng; Wang, Xinrui; Ren, Yueheng; Chen, Jinlin; Zhang, Chao; Xia, Yongpeng; Li, Yuankun; Sun, Jianguo; Guo, Jiangang; Wang, Weijia; Luan, XiaoFeng",,,,PEERJ,SEP 20 2018,2018,6,,,,,,,e5622,10.7717/peerj.5622,,,0,0
Joint Temporal Point Pattern Models for Proximate Species Occurrence in a Fixed Area Using Camera Trap Data,"Schliep, Erin M.; Gelfand, Alan E.; Clark, James S.; Kays, Roland",,,,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,SEP 2018,2018,23,3,,,,334,357,,10.1007/s13253-018-0327-8,,,0,0
"Tapping into technology and the biodiversity informatics revolution: updated terrestrial mammal list of Angola, with new records from the Okavango Basin","Taylor, Peter J.; Neef, Gotz; Keith, Mark; Weier, Sina; Monadjem, Ara; Parker, Daniel M.",,,,ZOOKEYS,AUG 2 2018,2018,,779,,,,51,88,,10.3897/zookeys.779.25964,,,0,0
Distance and size matters: A comparison of six wildlife camera traps and their usefulness for wild birds,"Randler, Christoph; Kalb, Nadine",,,,ECOLOGY AND EVOLUTION,JUL 2018,2018,8,14,,,,7151,7163,,10.1002/ece3.4240,,,0,0
Using terrestrial haematophagous leeches to enhance tropical biodiversity monitoring programmes in Bangladesh,"Weiskopf, Sarah R.; McCarthy, Kyle P.; Tessler, Michael; Rahman, Hasan A.; McCarthy, Jennifer L.; Hersch, Rebecca; Faisal, Mohammad Muzaffar; Siddall, Mark E.",,,,JOURNAL OF APPLIED ECOLOGY,JUL 2018,2018,55,4,,,,2071,2081,,10.1111/1365-2664.13111,,,0,0
"Spatial patterns of medium and large size mammal assemblages in varzea and terra firme forests, Central Amazonia, Brazil","Alvarenga, Guilherme Costa; Ramalho, Emiliano Esterci; Baccaro, Fabricio Beggiato; da Rocha, Daniel Gomes; Ferreira-Ferreira, Jefferson; Dineli Bobrowiec, Paulo Estefano",,,,PLOS ONE,MAY 30 2018,2018,13,5,,,,,,e0198120,10.1371/journal.pone.0198120,,,0,0
Bottom-up and top-down triggers of diversification: A new look at the evolutionary ecology of scavenging amphipods in the deep sea,"Havermans, Charlotte; Smetacek, Victor",,,,PROGRESS IN OCEANOGRAPHY,MAY-JUN 2018,2018,164,,,,,37,51,,10.1016/j.pocean.2018.04.008,,,0,0
"Estimating mammalian diversity and relative abundance using camera traps in a tropical deciduous forest of kuldiha Wildlife Sanctuary, eastern India","Debata, Subrat; Swain, Kedar Kumar",,,,MAMMAL STUDY,MAR 2018,2018,43,1,,,,45,53,,10.3106/ms2017-0078,,,0,0
"Camera trapping of terrestrial animals in Tanjung Datu National Park, Sarawak, Borneo","Mohd-Azlan, Jayasilan; Nurul-Asna, Hidayah; Jailan, Thaqifah Syaza; Tuen, Andrew Alek; Engkamat, Lading; Abdillah, Dayang Nuriza; Zainudin, Ramlah; Brodie, Jedediah F.",,,,RAFFLES BULLETIN OF ZOOLOGY,2018,2018,66,,,,,587,594,,,,,0,0
"PRELIMINARY OBSERVATIONS ON THE CRYPTIC FAUNA OF SIKKIM TRANS-HIMALAYA, INDIA","Bashir, Tawqir; Bhattacharya, Tapajit; Poudyal, Kamal; Sathyakumar, Sambandam",,,,INTERNATIONAL JOURNAL OF CONSERVATION SCIENCE,JAN-MAR 2018,2018,9,1,,,,179,184,,,,,0,0
,"Wong, Seth Timothy; Belant, Jerrold L.; Sollmann, Rahel; Mohamed, Azlan; Niedballa, Jurgen; Mathai, John; Meijaard, Erik; Street, Garrett M.; Kissing, Johnny; Mannan, Sam; Wilting, Andreas",,,,MAMMALIAN BIOLOGY,JAN 2018,2018,88,,,,,75,80,,10.1016/j.mambio.2017.11.010,,,0,0
"Diversity and Temporal Relationships between Mammals at Feeding Stations in Western Rhodope Mountains, Bulgaria","Popov, Elitsa D.; Zlatanova, Diana P.; Todev, Vasil",,,,ACTA ZOOLOGICA BULGARICA,DEC 2017,2017,69,4,,,,529,540,,,,,0,0
Mediterranean mesocarnivores in spatially structured managed landscapes: community organisation in time and space,"Curveira-Santos, Goncalo; Marques, Tiago A.; Bjorklund, Mats; Santos-Reis, Margarida",,,,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,JAN 16 2017,2017,237,,,,,280,289,,10.1016/j.agee.2016.12.037,,,0,0
"Spatiotemporal distribution of large- and medium-sized mammals and humans in the Lar Protected Area, Iran","Parchizadeh, Jamshid",,,,WILDLIFE RESEARCH,2017,2017,44,5,,,,400,406,,10.1071/WR16199,,,0,0
"Carnivores' diversity and conflicts with humans in Musk Deer National Park, Azad Jammu and Kashmir, Pakistan","Ahmad, Shakeel; Hameed, Shoaib; Ali, Hussain; Khan, Tauheed Ullah; Mehmood, Tahir; Nawaz, Muhammad Ali",,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,OCT 2016,2016,62,5,,,,565,576,,10.1007/s10344-016-1029-6,,,0,0
Assessments of occurrence and distribution of mammals in forests of the Garden Route National Park based on camera trapping,"Hanekom, Nicholas; Randall, Rodney M.",,,,KOEDOE,OCT 30 2015,2015,57,1,,,,,,1257,10.4102/koedoe.v57i1.1257,,,0,0
Habitat preferences of medium/large mammals in human disturbed forests in Central Japan,"Tsujino, Riyou; Yumoto, Takakazu",,,,ECOLOGICAL RESEARCH,JUL 2014,2014,29,4,,,,701,710,,10.1007/s11284-014-1159-9,,,0,0
